Date,Spain,Andalucía,Aragón,Principado de Asturias,Castilla y León,Castilla-La Mancha,Canarias,Catalunya,Galicia,Illes Balears,Región de Murcia,Comunidad de Madrid,País Vasco,Comunidad Valenciana
2003-09-28,26,,,,,,,,,,,19,,
2003-10-05,23,,,,,,,,,,,22,,
2003-10-12,43,,,,,,,35,,,,44,,
2003-10-19,46,,,,,,,66,,,,47,,93
2003-10-26,77,88,,,,,,105,,,,70,,121
2003-11-02,130,143,,,,,,137,,,,118,,125
2003-11-09,141,142,,,,,,107,,,,172,112,82
2003-11-16,170,180,,,,,,353,,,,178,182,59
2003-11-23,158,251,,,,,,130,,,,154,283,53
2003-11-30,73,255,,,,,,69,,,,86,193,67
2003-12-07,83,229,,,,,,90,,,,85,155,59
2003-12-14,53,136,,,,,,114,,,,35,148,55
2003-12-21,27,84,,,,,,59,,,,24,101,64
2003-12-28,33,72,,,,,,35,,,,34,79,68
2004-01-04,46,86,,,,,,26,,,,52,67,53
2004-01-11,23,62,,,,,,16,,,,23,54,55
2004-01-18,18,47,,,,,,14,,,,19,40,40
2004-01-25,19,47,,,,,,11,,,,23,35,30
2004-02-01,19,34,,,,,,11,,,,21,28,24
2004-02-08,16,24,,,,,,9,,,,12,24,15
2004-02-15,13,17,,,,,,7,,,,10,20,11
2004-02-22,15,18,,,,,,6,,,,14,22,12
2004-02-29,10,21,,,,,,9,,,,9,22,11
2004-03-07,14,15,,,,,,13,,,,14,20,13
2004-03-14,19,18,,,,,,15,,,,14,21,15
2004-03-21,28,17,,,,,,17,,,,26,21,16
2004-03-28,23,16,,,,,,18,,,,20,33,18
2004-04-04,9,16,,,,,,20,,,,8,31,15
2004-04-11,12,11,,,,,,13,,,,11,30,16
2004-04-18,16,13,,,,,,14,,,,18,28,15
2004-04-25,12,12,,,,,,20,,,,12,29,15
2004-05-02,13,9,,,,,,15,,,,12,29,15
2004-05-09,16,10,,,,,,32,,,,11,28,14
2004-05-16,18,16,,,,,,49,,,,16,28,15
2004-05-23,18,34,,,,,,33,,,,17,28,13
2004-05-30,9,44,,,,,,17,,,,6,22,14
2004-06-06,14,48,,,,,,14,,,,13,23,10
2004-06-13,17,43,,,,,,12,,,,21,20,11
2004-06-20,12,23,,,,,,11,,,,10,17,17
2004-06-27,9,17,,,,,,16,,,,8,14,14
2004-07-04,10,19,,,,,,26,,,,8,12,15
2004-07-11,16,16,,,,,,31,,,,16,11,19
2004-07-18,16,14,,,,,,23,,,,12,13,16
2004-07-25,15,13,,,,,,23,,,,12,13,22
2004-08-01,9,8,,,,,,19,,,,9,13,17
2004-08-08,13,6,,,,,,13,,,,13,12,14
2004-08-15,18,8,,,,,,14,,,,18,13,20
2004-08-22,17,8,,,,,,15,,,,18,13,24
2004-08-29,11,10,,,,,,13,,,,9,11,18
2004-09-05,11,10,,,,,,17,,,,9,11,13
2004-09-12,15,14,,,,,,10,,,,10,13,15
2004-09-19,20,15,,28,,,,20,,,,18,27,18
2004-09-26,34,24,,26,,,,29,,,,25,46,14
2004-10-03,43,51,,25,,,,39,,,,30,36,40
2004-10-10,33,72,,35,,,,50,31,,,29,32,101
2004-10-17,47,45,,36,,,,54,59,,,42,39,117
2004-10-24,26,45,,36,,,,31,58,,,25,36,111
2004-10-31,34,29,,38,,,,27,59,,,33,38,90
2004-11-07,34,47,,37,,,,42,58,,,33,45,69
2004-11-14,29,32,,67,,,,35,59,,,30,39,65
2004-11-21,26,19,,54,,,,48,56,,,24,36,45
2004-11-28,31,16,,74,,,,35,57,,,30,35,36
2004-12-05,42,19,,82,,,,25,55,,,42,29,29
2004-12-12,55,18,,75,,,,31,48,,,60,34,32
2004-12-19,68,29,51,80,,,,50,38,,42,65,35,36
2004-12-26,326,72,69,97,,,,166,37,,47,383,49,50
2005-01-02,579,390,83,202,,,,734,41,,89,477,215,197
2005-01-09,538,487,277,697,,,,902,85,,214,456,2605,458
2005-01-16,478,606,320,1323,,,,523,169,,2060,438,1524,886
